UNIDADE,CHEFE DE SECRETARIA,TELEFONE,COMARCA
Vara Única,Jaciana de Araújo Moura Lima,(84) 3433-2074,Acari
Juizado Especial Cível e Criminal,Jaciana de Araújo Moura Lima,(84) 3433-2074,Acari
Vara Única,Agnaldo de Almeida Braga,(84) 3381-2076,Alexandria
Juizado Especial Cível e Criminal,Agnaldo de Almeida Braga,(84) 3381-2165,Alexandria
Vara Única,Lenivan Nunes de Paiva,(84) 3395-1982,Almino Afonso
Juizado Especial Cível e Criminal,Lenivan Nunes de Paiva,(84) 3395-1982,Almino Afonso
Vara Única,Nantes Abdon Miranda,(84) 3531-2154,Angicos
Juizado Especial Cível e Criminal,Nantes Abdon Miranda,(84) 3531-2154,Angicos
1ª Vara,Francisco Antônio de Freitas Souza,(84) 3333-2600,Apodi
2ª Vara,José Edson Nobre Praxedes,(84) 3333-2045,Apodi
Juizado Especial Cível e Criminal,João Elias Monteiro de Souza,(84) 3333-2045,Apodi
1ª Vara,Gilles Araújo de Castro,(84) 3332-3017,Areia Branca
2ª Vara,Gledson Florêncio da Silva,(84) 3332-3026,Areia Branca
Juizado Especial Cível e Criminal,Gladston de Oliveira Bezerra,(84) 3332-3927,Areia Branca
Vara Única,Joseane Galvão de Melo Lira,(84) 3242-2095,Arez
Juizado Especial Cível e Criminal,Joseane Galvão de Melo Lira,(84) 3242-2107,Arez
1ª Vara,Pedro Batista de Sales Neto,(84) 3331-5247,Assú
2ª Vara,Guilherme de Medeiros Saldanha,(84) 3331-5245,Assú
3ª Vara,Waldir Tavares da Silva,(84) 3331-5243,Assú
Juizado Especial Cível e Criminal,Rafael Cosme Tavares,(84) 3331-5244,Assú
Vara Única,Jeyson Medeiros de Oliveira,(84) 3320-2287,Baraúna
Juizado Especial Cível e Criminal,Jeyson Medeiros de Oliveira,(84) 3320-2287,Baraúna
1ª Vara,Hugley Douglas Dias,(84) 3417-6044,Caicó
2ª Vara,Daniel Evaristo de Araújo,(84) 3417-6034,Caicó
3ª Vara,Marcus César dos Santos Bezerra,(84) 3417-6036,Caicó
Juizado Especial Cível e Criminal,Francisca de Fátima Medeiros Wanderley,(84) 3417-6038,Caicó
Vara Única,José Anchieta Filho,(84) 3362-2273,Campo Grande
Juizado Especial Cível e Criminal,José Anchieta Filho,(84) 3362-2273,Campo Grande
Vara Única,Lilian Catiani Correia de Freitas,(84) 3241-2711,Canguaretama
Juizado Especial Cível e Criminal,Lilian Catiani Correia de Freitas,(84) 3241-2743,Canguaretama
Vara Única,Vandilson Ramalho de Oliveira,(84) 3337-3220,Caraúbas
Juizado Especial Cível e Criminal,Vandilson Ramalho de Oliveira,(84) 3337-3224,Caraúbas
1ª Vara,Jerônimo Rafael Bezerra,(84) 3274-3196,Ceará-Mirim
2ª Vara,Monch Charles Silva de Oliveira,(84) 3274-3511,Ceará-Mirim
3ª Vara,Lilian Cristina Bezerra da Silva,(84) 3274-3985,Ceará-Mirim
Juizado Especial Cível e Criminal,Luciane Ângela Peixoto Santos,(84) 3274-3613,Ceará-Mirim
Vara Única,Nelson Vitorino Lustosa,(84) 3473-2474,Cruzeta
Juizado Especial Cível e Criminal,Nelson Vitorino Lustosa,(84) 3473-2474,Cruzeta
1ª Vara,Paulo Evanaldo Fernandes,(84) 3412-2891,Currais Novos
2ª Vara,Otto Soares de Araújo Neto,(84) 3412-3411,Currais Novos
Juizado Especial Cível e Criminal,Anderson Diniz Brito de Azevedo,(84) 3412-3748,Currais Novos
Vara Única,Maria Adelaide Soares do Nascimento,(84) 3279-3206,Extremoz
Juizado Especial Cível e Criminal,Maria Adelaide Soares do Nascimento,(84) 3279-4958,Extremoz
Vara Única,Marcus José de Melo Lyra,(84) 3435-2547,Florânia
Juizado Especial Cível e Criminal,Marcus José de Melo Lyra,(84) 3435-2547,Florânia
Vara Única,Fábio Ferreira de Gois,(84) 3243-3151,Goianinha
Juizado Especial Cível e Criminal,Fábio Ferreira de Gois,(84) 3243-2551,Goianinha
Vara Única,Maurício Miranda,(84) 3335-2402,Ipanguaçu
Juizado Especial Cível e Criminal,Maurício Miranda,(84) 3335-2402,Ipanguaçu
Vara Única,Alcimar da Silva Araújo,(84) 3423-2328,Jardim de Piranhas
Juizado Especial Cível e Criminal,Alcimar da Silva Araújo,(84) 3423-2328,Jardim de Piranhas
Vara Única,Adriana Dantas de Medeiros,(84) 3472-2788,Jardim do Seridó
Juizado Especial Cível e Criminal,Adriana Dantas de Medeiros,(84) 3472-2433,Jardim do Seridó
1ª Vara,Walberto Alves de Lima,(84) 3262-3291,João Câmara
2ª Vara,Ronivaldo Firmino da Silva,(84) 3262-3293,João Câmara
Juizado Especial Cível e Criminal,Sandra Régia Teixeira Ângelo,(84) 3262-3079,João Câmara
Vara Única,Andreza Ranielle Batista de Medeiros,(84) 3429-2069,Jucurutu
Juizado Especial Cível e Criminal,Andreza Ranielle Batista de Medeiros,(84) 3429-2069,Jucurutu
Vara Única,Francisco das Chagas Mendonça,(84) 3532-2613,Lajes
Juizado Especial Cível e Criminal,Francisco das Chagas Mendonça,(84) 3532-2369,Lajes
Vara Única,Maria das Graças de Araújo Limão,(84) 3382-2475,Luís Gomes
Juizado Especial Cível e Criminal,Maria das Graças de Araújo Limão,(84) 3382-2475,Luís Gomes
1ª Vara,Anny Margareth Medeiros,(84) 3521-3484,Macau
2ª Vara,Elder Gley da Costa Sena,(84) 3521-3529,Macau
Juizado Especial Cível e Criminal,Jailton de Souza Silva,(84) 3521-3709,Macau
1ª Vara,Walteres Veronica Saldanha Fernandes,(84) 3271-3253,Macaíba
2ª Vara,Francisco Alcides Ferreira,(84) 3271-3797,Macaíba
3ª Vara,Hosana de Medeiros Paiva Torres,(84) 3271-5074,Macaíba
Juizado Especial Cível e Criminal,Gustavo Henrique Pinheiro de Oliveira,(84) 3271-5076,Macaíba
Vara Única,Maria Auricélia Marques Viana,(84) 3385-4850,Marcelino Vieira
Juizado Especial Cível e Criminal,Maria Auricélia Marques Viana,(84) 3385-4853,Marcelino Vieira
Vara Única,Ana Paula Lucena Targino de Freitas,(84) 3391-2830,Martins
Juizado Especial Cível e Criminal,Ana Paula Lucena Targino de Freitas,(84) 3391-2833,Martins
Vara Única,Alzira Cristina Dantas da SIlva,(84) 3276-2144,Monte Alegre
Juizado Especial Cível e Criminal,Alzira Cristina Dantas da SIlva,(84) 3276-2144,Monte Alegre
"1º Juizado Especial Cível, Criminal e da Fazenda Pública",Doryene Maria Gomes de Carvalho Fernandes,(84) 3315-7242,Mossoró
"2º Juizado Especial Cível, Criminal e da Fazenda Pública",Marcos Antônio Ferreira,(84) 3315-7246,Mossoró
"3º Juizado Especial Cível, Criminal e da Fazenda Pública",Ary Sérgio Queiroz de Oliveira,(84) 3315-7250,Mossoró
"4º Juizado Especial Cível, Criminal e da Fazenda Pública",Lisandra Michelle Clemente da Silva Rêgo,(84) 3315-7254,Mossoró
1ª Vara Cível,José Antônio de Souza Silva,(84) 3315-7211,Mossoró
2ª Vara Cível,Danúzia Regina da Costa Neres Alves,(84) 3315-7181,Mossoró
3ª Vara Cível,Antônio Cezar Morais,(84) 3315-7171,Mossoró
4ª Vara Cível,Magna Ruth Diógenes,(84) 3315-7175,Mossoró
5ª Vara Cível,Rafaella Fonseca Pereira,(84) 3315-7166,Mossoró
6ª Vara Cível,Francisca Elza Bezerra da Fé,(84) 3315-7186,Mossoró
1ª Vara de Família,Alcy Almeida Evangelista,(84) 3315-7221,Mossoró
2ª Vara de Família,Antônio Soares de Oliveira,(84) 3315-7234,Mossoró
3ª Vara de Família,Josicleide Duarte Marinho Moreira,(84) 3315-7230,Mossoró
Vara da Infância e Juventude,Abner Silva de Souza,(84) 3315-7262,Mossoró
1ª Vara Criminal,Maria das Graças de Alencar Teixeira Oliveira,(84) 3315-7191,Mossoró
2ª Vara Criminal,Jader Torres Rego,(84) 3315-7196,Mossoró
3ª Vara Criminal,Clóvis da Silva Alves,(84) 3315-7201,Mossoró
Vara de Execuções Penais,Gilmara Firmino Torres,(84) 3315-7206,Mossoró
1ª Vara da Fazenda Pública,Regivan Nestor de Lima,(84) 3318-7270,Mossoró
2ª Vara da Fazenda Pública,Thiago Alves da Silva,(84) 3315-7169,Mossoró
3ª Vara da Fazenda Pública,Francisco Das Chagas Menezes Jácome,(84) 3315-7226,Mossoró
Distribuidor,Antônio Ilderlândio Luna Fernandes,(84) 3315-7122,Mossoró
Centro Judiciário de Solução de Conflitos - CEJUSC,Ana Joelma do Amaral,(84) 3315-7288,Mossoró
Vara  do Juizado da Violência Doméstica e Familiar Contra a Mulher,Euclides da Costa Bezerra do Rêgo,(84) 3315-7152,Mossoró
1ª Vara Cível,Dinara Câmara da Silva e Paiva,(84) 3616 – 9480,Natal
